date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-11,South Korea,Czechia,2,1,FIFA World Cup,Zapopan,Mexico,TRUE
2026-06-12,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,Toronto,Canada,FALSE
2026-06-12,United States,Paraguay,4,1,FIFA World Cup,Inglewood,United States,FALSE
2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-13,Brazil,Morocco,1,1,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-13,Haiti,Scotland,0,1,FIFA World Cup,Foxborough,United States,TRUE
2026-06-13,Australia,Turkey,2,0,FIFA World Cup,Vancouver,Canada,TRUE
2026-06-14,Germany,Curaçao,7,1,FIFA World Cup,Houston,United States,TRUE
2026-06-14,Côte d'Ivoire,Ecuador,1,0,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,Arlington,United States,TRUE
2026-06-14,Sweden,Tunisia,5,1,FIFA World Cup,Guadalupe,Mexico,TRUE
2026-06-15,Belgium,Egypt,1,1,FIFA World Cup,Seattle,United States,TRUE
2026-06-15,Iran,New Zealand,2,2,FIFA World Cup,Inglewood,United States,TRUE
2026-06-15,Spain,Cabo Verde,0,0,FIFA World Cup,Atlanta,United States,TRUE
2026-06-15,Saudi Arabia,Uruguay,1,1,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-16,France,Senegal,3,1,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-16,Iraq,Norway,1,4,FIFA World Cup,Foxborough,United States,TRUE
2026-06-16,Argentina,Algeria,3,0,FIFA World Cup,Kansas City,United States,TRUE
2026-06-16,Austria,Jordan,3,1,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-17,Portugal,DR Congo,1,1,FIFA World Cup,Houston,United States,TRUE
2026-06-17,Uzbekistan,Colombia,1,3,FIFA World Cup,Mexico City,Mexico,TRUE
2026-06-17,England,Croatia,4,2,FIFA World Cup,Arlington,United States,TRUE
2026-06-17,Ghana,Panama,1,0,FIFA World Cup,Toronto,Canada,TRUE
2026-06-18,Czechia,South Africa,1,1,FIFA World Cup,Atlanta,United States,TRUE
2026-06-18,Mexico,South Korea,1,0,FIFA World Cup,Zapopan,Mexico,FALSE
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,FIFA World Cup,Inglewood,United States,TRUE
2026-06-18,Canada,Qatar,6,0,FIFA World Cup,Vancouver,Canada,FALSE
2026-06-19,Scotland,Morocco,0,1,FIFA World Cup,Foxborough,United States,TRUE
2026-06-19,Brazil,Haiti,3,0,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-19,United States,Australia,2,0,FIFA World Cup,Seattle,United States,FALSE
2026-06-19,Turkey,Paraguay,0,1,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-20,Germany,Côte d'Ivoire,2,1,FIFA World Cup,Toronto,Canada,TRUE
2026-06-20,Ecuador,Curaçao,0,0,FIFA World Cup,Kansas City,United States,TRUE
2026-06-20,Netherlands,Sweden,5,1,FIFA World Cup,Houston,United States,TRUE
2026-06-20,Tunisia,Japan,0,4,FIFA World Cup,Guadalupe,Mexico,TRUE
2026-06-21,Belgium,Iran,0,0,FIFA World Cup,Inglewood,United States,TRUE
2026-06-21,New Zealand,Egypt,1,3,FIFA World Cup,Vancouver,Canada,TRUE
2026-06-21,Spain,Saudi Arabia,4,0,FIFA World Cup,Atlanta,United States,TRUE
2026-06-21,Uruguay,Cabo Verde,2,2,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-22,France,Iraq,3,0,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-22,Norway,Senegal,3,2,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-22,Argentina,Austria,2,0,FIFA World Cup,Arlington,United States,TRUE
2026-06-22,Jordan,Algeria,1,2,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-23,Portugal,Uzbekistan,5,0,FIFA World Cup,Houston,United States,TRUE
2026-06-23,Colombia,DR Congo,1,0,FIFA World Cup,Zapopan,Mexico,TRUE
2026-06-23,England,Ghana,0,0,FIFA World Cup,Foxborough,United States,TRUE
2026-06-23,Panama,Croatia,0,1,FIFA World Cup,Toronto,Canada,TRUE
2026-06-24,Mexico,Czechia,3,0,FIFA World Cup,Mexico City,Mexico,FALSE
2026-06-24,South Africa,South Korea,1,0,FIFA World Cup,Guadalupe,Mexico,TRUE
2026-06-24,Canada,Switzerland,1,2,FIFA World Cup,Vancouver,Canada,FALSE
2026-06-24,Bosnia and Herzegovina,Qatar,3,1,FIFA World Cup,Seattle,United States,TRUE
2026-06-24,Scotland,Brazil,0,3,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-24,Morocco,Haiti,4,2,FIFA World Cup,Atlanta,United States,TRUE
2026-06-25,United States,Turkey,2,3,FIFA World Cup,Inglewood,United States,FALSE
2026-06-25,Paraguay,Australia,0,0,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-25,Curaçao,Côte d'Ivoire,0,2,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-25,Ecuador,Germany,2,1,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-25,Japan,Sweden,1,1,FIFA World Cup,Arlington,United States,TRUE
2026-06-25,Tunisia,Netherlands,1,3,FIFA World Cup,Kansas City,United States,TRUE
2026-06-26,Egypt,Iran,1,1,FIFA World Cup,Seattle,United States,TRUE
2026-06-26,New Zealand,Belgium,1,5,FIFA World Cup,Vancouver,Canada,TRUE
2026-06-26,Cabo Verde,Saudi Arabia,0,0,FIFA World Cup,Houston,United States,TRUE
2026-06-26,Uruguay,Spain,0,1,FIFA World Cup,Zapopan,Mexico,TRUE
2026-06-26,Norway,France,1,4,FIFA World Cup,Foxborough,United States,TRUE
2026-06-26,Senegal,Iraq,5,0,FIFA World Cup,Toronto,Canada,TRUE
2026-06-27,Algeria,Austria,3,3,FIFA World Cup,Kansas City,United States,TRUE
2026-06-27,Jordan,Argentina,1,3,FIFA World Cup,Arlington,United States,TRUE
2026-06-27,Colombia,Portugal,0,0,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-27,DR Congo,Uzbekistan,3,1,FIFA World Cup,Atlanta,United States,TRUE
2026-06-27,Panama,England,0,2,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-27,Croatia,Ghana,2,1,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-28,South Africa,Canada,0,1,FIFA World Cup,Inglewood,United States,TRUE
2026-06-29,Brazil,Japan,2,1,FIFA World Cup,Houston,United States,TRUE
2026-06-29,Germany,Paraguay,1,1,FIFA World Cup,Foxborough,United States,TRUE
2026-06-29,Netherlands,Morocco,1,1,FIFA World Cup,Guadalupe,Mexico,TRUE
2026-06-30,Côte d'Ivoire,Norway,1,2,FIFA World Cup,Arlington,United States,TRUE
2026-06-30,France,Sweden,3,0,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-30,Mexico,Ecuador,2,0,FIFA World Cup,Mexico City,Mexico,FALSE
2026-07-01,England,DR Congo,2,1,FIFA World Cup,Atlanta,United States,TRUE
2026-07-01,Belgium,Senegal,3,2,FIFA World Cup,Seattle,United States,TRUE
2026-07-01,United States,Bosnia and Herzegovina,2,0,FIFA World Cup,Santa Clara,United States,FALSE
2026-07-02,Spain,Austria,3,0,FIFA World Cup,Inglewood,United States,TRUE
2026-07-02,Portugal,Croatia,2,1,FIFA World Cup,Toronto,Canada,TRUE
2026-07-02,Switzerland,Algeria,2,0,FIFA World Cup,Vancouver,Canada,TRUE
2026-07-03,Australia,Egypt,1,1,FIFA World Cup,Arlington,United States,TRUE
2026-07-03,Argentina,Cabo Verde,3,2,FIFA World Cup,Miami Gardens,United States,TRUE
2026-07-03,Colombia,Ghana,1,0,FIFA World Cup,Kansas City,United States,TRUE
2026-07-04,Canada,Morocco,0,3,FIFA World Cup,Houston,United States,TRUE
2026-07-04,Paraguay,France,0,1,FIFA World Cup,Philadelphia,United States,TRUE
2026-07-09,France,Morocco,NA,NA,FIFA World Cup,Boston,United States,TRUE
2026-07-10,Spain,Belgium,NA,NA,FIFA World Cup,Los Angeles,United States,TRUE
2026-07-11,Norway,England,NA,NA,FIFA World Cup,Miami,United States,TRUE
2026-07-11,Argentina,Switzerland,NA,NA,FIFA World Cup,Kansas City,United States,TRUE
2026-07-14,France,Spain,NA,NA,FIFA World Cup,Los Angeles,United States,TRUE
2026-07-15,England,Argentina,NA,NA,FIFA World Cup,Miami,United States,TRUE
2026-07-19,France,England,NA,NA,FIFA World Cup,New York,United States,TRUE
